Semester	Batch	Branch	Category	Course Code	Course Name	Credits	LTPC	Slots	Total IC	Total DC	Total IC+DC
3	B25	CSE	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	13	21
3	B25	CSE	IC	IC272	Machine Learning	3	3-0-0-3	D	8	13	21
3	B25	CSE	DC	CS208	Mathematical Foundations of Computer Science	4	4-0-0-4	B	8	13	21
3	B25	CSE	DC	CS214	Computer Organization	4	3-0-2-4	H	8	13	21
3	B25	CSE	DC	CS212	Design of Algorithms	4	4-0-0-4	C	8	13	21
3	B25	CSE	DC	CS213	Reverse Engineering	1	1-0-0-1	Lab only	8	13	21
3	B25	CSE	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	13	21
3	B25	DSE	IC	IC272	Machine Learning	3	3-0-0-3	D	8	8	16
3	B25	DSE	DC	DS201	Data Handling and Vizualisation	3	3-0-0-3		8	8	16
3	B25	DSE	DC	DS301	Mathematical Foundations of Data Science	4	4-0-0-4		8	8	16
3	B25	DSE	DC	CS213	Reverse Engineering	1	1-0-0-1	Lab only	8	8	16
3	B25	DSE	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	8	16
3	B25	DSE	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	8	16
3	B25	DSAI	IC	IC272	Machine Learning	3	3-0-0-3	D	8	9	17
3	B25	DSAI	DC	CS213	Reverse Engineering	1	1-0-0-1	Lab only	8	9	17
3	B25	DSAI	DC	DS313	Probability Theory and Statistics	4	4-0-0-4	B	8	9	17
3	B25	DSAI	DC	DS412	Matrix Computations for Data Science	4	4-0-0-4	E	8	9	17
3	B25	DSAI	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	9	17
3	B25	DSAI	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	9	17
3	B25	EE	IC	IC272	Machine Learning	3	3-0-0-3	D	8	18	26
3	B25	EE	DC	EE203	Network Theory	3	3-0-0-3	B	8	18	26
3	B25	EE	DC	EE210	Digital System Design	3	3-0-0-3		8	18	26
3	B25	EE	DC	EE260	Signals and Systems	3	3-0-0-3	H	8	18	26
3	B25	EE	DC	EE261	Electrical Systems Around Us	3	3-0-0-3	A	8	18	26
3	B25	EE	DC	EE311	Device Electronics	3	3-0-0-3	E	8	18	26
3	B25	EE	DC	EE210P	Digital Systems Design Practicum	1	1-0-0-1		8	18	26
3	B25	EE	DC	EE261P	Electrical Systems Around Us Lab	2	2-0-0-2		8	18	26
3	B25	EE	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	18	26
3	B25	EE	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	18	26
3	B25	ME	IC	IC272	Machine Learning	3	3-0-0-3	D	8	19	27
3	B25	ME	DC	EE261	Electrical Systems Around Us	3	3-0-0-3	A	8	19	27
3	B25	ME	DC	IC241	Material Science for Engineers	3	3-0-0-3	G	8	19	27
3	B25	ME	DC	ME210	Fluid Mechanics	3	3-0-0-3	B	8	19	27
3	B25	ME	DC	ME212	Product Manufacturing Technologies	3	3-0-0-3	C	8	19	27
3	B25	ME	DC	ME213	Engineering Thermodynamics	4	4-0-0-4	F	8	19	27
3	B25	ME	DC	ME206	Mechanics of Solids	3	3-0-0-3	E	8	19	27
3	B25	ME	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	19	27
3	B25	ME	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	19	27
3	B25	CE	IC	IC272	Machine Learning	3	3-0-0-3	D	5	11	16
3	B25	CE	DC	CE203	Civil Engineering Materials	3	3-0-0-3	E	5	11	16
3	B25	CE	DC	CE252	Geology and Geomorphology	3	3-0-0-3	B, LS1	5	11	16
3	B25	CE	DC	CE310	Strength of Materials and Structures	3	3-0-0-3	C	5	11	16
3	B25	CE	DC	CE310P	Strength of Materials and Structures Lab	1	1-0-0-1	LS4	5	11	16
3	B25	CE	DC	CE203P	Building Materials Lab	1	1-0-0-1	LS2	5	11	16
3	B25	CE	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	5	11	16
3	B25	BE	IC	IC272	Machine Learning	3	3-0-0-3	D	5	16	21
3	B25	BE	DC	BE201	Cell Biology	4	4-0-0-4	B	5	16	21
3	B25	BE	DC	BE202	Biochemistry and Molecular Biology	4	4-0-0-4	B	5	16	21
3	B25	BE	DC	BE308	Introduction to Biomanufacturing	4	4-0-0-4	E	5	16	21
3	B25	BE	DC	BE309	Biosensing & Bioinstrumentation	4	4-0-0-4	H	5	16	21
